2024,ACM TOCE,"Evaluating ChatGPT-4 Vision on Brazil's National Undergraduate Computer Science Exam.",UNIFOR,Nabor C. Mendonça,https://doi.org/10.1145/3674149,top,J,http://arxiv.org/abs/2406.09671v1,0
2024,ACM TOCE,"Exploring the Relationship between Learning of Machine Learning Concepts and Socioeconomic Status Background among Middle and High School Students: A Comparative Analysis.",UFSC,Ramon Mayor Martins; Christiane Gresse von Wangenheim; Marcelo Farenzena; Adriano Ferreti Borgatto; Jean C. R. Hauck,https://doi.org/10.1145/3680288,top,J,no_arxiv,0
2024,IEEE ToE,"Challenge-Based Learning for Competency Development in Engineering Education, a Prisma-Based Systematic Literature Review.",UFSCar,Andreia Leles; Luciana Zaina; José Roberto Cardoso,https://doi.org/10.1109/TE.2024.3417908,null,J,no_arxiv,0
2023,ACM TOCE,"Potential Factors for Retention and Intent to Drop-out in Brazilian Computing Programs.",UFRGS; IFMS; UNESP; UTFPR,Rodrigo Duran 0001; Silvia Amélia Bim; Itana Gimenes; Leila Ribeiro 0001; Ronaldo Celso Messias Correia,https://doi.org/10.1145/3607537,top,J,no_arxiv,0
2023,IEEE ToE,"Challenges on the Brazilian Information Systems Education: The Professors' Perspective.",UFMA; UNIRIO,Vânia de Oliveira Neves; Silvana Morita Melo; Davi Viana; Rodrigo Pereira dos Santos; Valdemar Vicente Graciano Neto,https://doi.org/10.1109/TE.2023.3259335,null,J,no_arxiv,0
2022,ACM TOCE,"Are They Learning or Playing? Moderator Conditions of Gamification's Success in Programming Classrooms.",UFAM; ICMC/USP,Luiz A. L. Rodrigues; Filipe D. Pereira; Armando M. Toda; Paula T. Palomino; Wilk Oliveira; Marcela Pessoa; Leandro S. G. Carvalho; David B. F. Oliveira; Elaine Harada T. de Oliveira; Alexandra I. Cristea; Seiji Isotani,https://doi.org/10.1145/3485732,top,J,no_arxiv,0
2022,ACM TOCE,"Cognitive Load Theory in Computing Education Research: A Review.",IFMS,Rodrigo Duran 0001; Albina Zavgorodniaia; Juha Sorva,https://doi.org/10.1145/3483843,top,J,no_arxiv,0
2022,ACM TOCE,"Through (Tracking) Their Eyes: Abstraction and Complexity in Program Comprehension.",IFMS,Philipp Kather; Rodrigo Duran 0001; Jan Vahrenhold,https://doi.org/10.1145/3480171,top,J,no_arxiv,0
2022,IEEE ToE,"A Systematic Mapping of the Classification of Open Educational Resources for Computer Science Education in Digital Sources.",ICMC/USP,William Simão de Deus; Ellen Francine Barbosa,https://doi.org/10.1109/TE.2021.3128019,null,J,no_arxiv,0
2022,IEEE ToE,"An Approach Based on Social Network Analysis to Enhance Social Presence in a Collaborative Learning Environment.",UFPE,Francisco Petrônio Alencar de Medeiros; Alex Sandro Gomes,https://doi.org/10.1109/TE.2022.3154935,null,J,no_arxiv,0
2022,IEEE ToE,"An Investigation of Knowledge Gaps of Graduate Students Regarding Safety-Critical Systems Development: A Controlled Experiment.",ICMC/USP,Ana Isabella Muniz Leite; Lucas Lagoa Nogueira; Samuel de Souza Lopes; Rosana T. V. Braga; Pablo Oliveira Antonino; Elisa Yumi Nakagawa,https://doi.org/10.1109/TE.2021.3093347,null,J,no_arxiv,0
