2023,Engineering Appl. of AI,"A fuzzy scheduler for MAS applied to object tracking.",Gibson B. N. Barbosa; Marrone Dantas; Assis T. de Oliveira Filho; Iago Richard Rodrigues Silva; Daniel Bezerra; Djamel Sadok; Judith Kelner; Ricardo S. Souza,https://doi.org/10.1016/j.engappai.2022.105796,null,J,no_arxiv,0
2023,Supercomputing,"A framework for robotic arm pose estimation and movement prediction based on deep and extreme learning models.",Iago Richard Rodrigues Silva; Marrone Dantas; Assis T. de Oliveira Filho; Gibson B. N. Barbosa; Daniel Bezerra; Ricardo S. Souza; Maria Valéria Marquezini; Patricia Takako Endo; Judith Kelner; Djamel Sadok,https://doi.org/10.1007/s11227-022-04936-z,null,J,http://arxiv.org/abs/2205.13994v1,0
2022,Future Generation CS,"A reinforcement learning-based approach for availability-aware service function chain placement in large-scale networks.",Guto Leoni Santos; Patricia Takako Endo; Theo Lynn; Djamel Sadok; Judith Kelner,https://doi.org/10.1016/j.future.2022.05.021,null,J,no_arxiv,0
2021,Supercomputing,"Optimizing NFV placement for distributing micro-data centers in cellular networks.",Diego de Freitas Bezerra; Guto Leoni Santos; Glauco Estácio Gonçalves; André L. C. Moreira; Leylane Graziele Ferreira da Silva; Élisson da Silva Rocha; Maria Valéria Marquezini; Judith Kelner; Djamel Sadok; Amardeep Mehta; Mattias Wildeman; Patricia Takako Endo,https://doi.org/10.1007/s11227-021-03620-y,null,J,no_arxiv,0
2021,Supercomputing,"Availability-aware and energy-aware dynamic SFC placement using reinforcement learning.",Guto Leoni Santos; Theo Lynn; Judith Kelner; Patricia Takako Endo,https://doi.org/10.1007/s11227-021-03784-7,null,J,no_arxiv,0
2023,SPE,"SPIDER: An availability-aware framework for the service function chain placement in distributed scenarios.",Guto Leoni Santos; Patricia Takako Endo; Djamel Sadok; Judith Kelner,https://doi.org/10.1002/spe.3154,null,J,no_arxiv,0
2021,SPE,"Aggregating data center measurements for availability analysis.",Élisson da Silva Rocha; Leylane Silva; Guto Leoni Santos; Diego de Freitas Bezerra; André L. C. Moreira; Glauco Estácio Gonçalves; Maria Valéria Marquezini; Amardeep Mehta; Mattias Wildeman; Judith Kelner; Djamel Sadok; Patricia Takako Endo,https://doi.org/10.1002/spe.2934,null,J,no_arxiv,0
2020,SPE,"Availability analysis of design configurations to compose virtual performance-optimized data center systems in next-generation cloud data centers.",Daniel Rosendo; Demis Gomes; Guto Leoni Santos; Leylane Silva; André L. C. Moreira; Judith Kelner; Djamel Sadok; Glauco Estácio Gonçalves; Amardeep Mehta; Mattias Wildeman; Patricia Takako Endo,https://doi.org/10.1002/spe.2833,null,J,no_arxiv,0
2022,Multimedia Tools Appl.,"Modeling and assessing an intelligent system for safety in human-robot collaboration using deep and machine learning techniques.",Iago Richard Rodrigues Silva; Gibson B. N. Barbosa; Assis T. Oliveira Filho; Carolina Cani D. L.; Marrone Dantas; Djamel H. Sadok; Judith Kelner; Ricardo S. Souza; Maria Valéria Marquezini; Silvia Lins,https://doi.org/10.1007/s11042-021-11643-z,null,J,no_arxiv,0
2022,Multimedia Tools Appl.,"Faulty RJ45 connectors detection on radio base station using deep learning.",Marrone Silvério Melo Dantas; Pedro Henrique Dreyer Leuchtenberg; Gabriel Fonseca Reis de Souza; Daniel Bezerra; Ricardo S. Souza; Silvia Lins; Judith Kelner; Djamel Fawzi Hadj Sadok,https://doi.org/10.1007/s11042-022-12694-6,null,J,no_arxiv,0
2022,Multimedia Tools Appl.,"Video object segmentation for automatic image annotation of ethernet connectors with environment mapping and 3D projection.",Marrone Dantas; Pedro Dreyer; Daniel Bezerra; Gabriel Reis; Ricardo S. Souza; Silvia Lins; Judith Kelner; Djamel Sadok,https://doi.org/10.1007/s11042-022-13128-z,null,J,no_arxiv,0
