2024,ER,"An Analysis of the Semantic Foundation of KerML and SysML v2.",João Paulo A. Almeida; Luís Ferreira Pires; Giancarlo Guizzardi; Gerd Wagner 0001,https://doi.org/10.1007/978-3-031-75872-0_8,null,C,no_arxiv,0
2023,Data & Knowl. Eng.,"A FAIR catalog of ontology-driven conceptual models.",Tiago Prince Sales; Pedro Paulo F. Barcelos; Claudenir M. Fonseca; Isadora Valle Souza; Elena Romanenko; César Henrique Bernabé; Luiz Olavo Bonino da Silva Santos; Mattia Fumagalli; Joshua Kritz; João Paulo A. Almeida; Giancarlo Guizzardi,https://doi.org/10.1016/j.datak.2023.102210,null,J,no_arxiv,0
2023,Data & Knowl. Eng.,"Legal powers, subjections, disabilities, and immunities: Ontological analysis and modeling patterns.",Cristine Griffo; João Paulo A. Almeida; João A. O. Lima; Tiago Prince Sales; Giancarlo Guizzardi,https://doi.org/10.1016/j.datak.2023.102219,null,J,no_arxiv,0
2023,EDOC,"A System Core Ontology for Capability Emergence Modeling.",Rodrigo F. Calhau; Tiago Prince Sales; Italo Jose da Silva Oliveira; Satyanarayana Kokkula; Luís Ferreira Pires; David B. Cameron; Giancarlo Guizzardi; João Paulo A. Almeida,https://doi.org/10.1007/978-3-031-46587-1_1,null,C,no_arxiv,0
2022,Data & Knowl. Eng.,"Ontologically correct taxonomies by construction.",Jeferson O. Batista; João Paulo A. Almeida; Eduardo Zambon; Giancarlo Guizzardi,https://doi.org/10.1016/j.datak.2022.102012,null,J,no_arxiv,0
2022,ER,"Incorporating Types of Types in Ontology-Driven Conceptual Modeling.",Claudenir M. Fonseca; Giancarlo Guizzardi; João Paulo A. Almeida; Tiago Prince Sales; Daniele Porello,https://doi.org/10.1007/978-3-031-17995-2_2,null,C,no_arxiv,0
2022,ER,"Legal Power-Subjection Relations: Ontological Analysis and Modeling Pattern.",Cristine Griffo; Tiago Prince Sales; Giancarlo Guizzardi; João Paulo A. Almeida,https://doi.org/10.1007/978-3-031-17995-2_5,null,C,no_arxiv,0
2021,Data & Knowl. Eng.,"Types and taxonomic structures in conceptual modeling: A novel ontological theory and engineering support.",Giancarlo Guizzardi; Claudenir M. Fonseca; João Paulo A. Almeida; Tiago Prince Sales; Alessander Botti Benevides; Daniele Porello,https://doi.org/10.1016/j.datak.2021.101891,null,J,no_arxiv,0
2021,Data & Knowl. Eng.,"Multi-level conceptual modeling: Theory, language and application.",Claudenir M. Fonseca; João Paulo A. Almeida; Giancarlo Guizzardi; Victorio Albani de Carvalho,https://doi.org/10.1016/j.datak.2021.101894,null,J,no_arxiv,0
2021,Inf. Systems,"Service contract modeling in Enterprise Architecture: An ontology-based approach.",Cristine Griffo; João Paulo A. Almeida; Giancarlo Guizzardi; Julio Cesar Nardi,https://doi.org/10.1016/j.is.2019.101454,null,J,no_arxiv,0
2021,EDOC,"Towards Ontology-based Competence Modeling in Enterprise Architecture.",Rodrigo F. Calhau; Carlos L. B. Azevedo; João Paulo A. Almeida,https://doi.org/10.1109/EDOC52215.2021.00018,null,C,no_arxiv,0
2021,ER,"Forward Engineering Relational Schemas and High-Level Data Access from Conceptual Models.",Gustavo L. Guidoni; João Paulo A. Almeida; Giancarlo Guizzardi,https://doi.org/10.1007/978-3-030-89022-3_12,null,C,no_arxiv,0
2021,ER,"Type or Individual? Evidence of Large-Scale Conceptual Disarray in Wikidata.",Atílio A. Dadalto; João Paulo A. Almeida; Claudenir M. Fonseca; Giancarlo Guizzardi,https://doi.org/10.1007/978-3-030-89022-3_29,null,C,no_arxiv,0
2020,ER,"Transformation of Ontology-Based Conceptual Models into Relational Schemas.",Gustavo L. Guidoni; João Paulo A. Almeida; Giancarlo Guizzardi,https://doi.org/10.1007/978-3-030-62522-1_23,null,C,no_arxiv,0
2024,SoSyM,"Modeling competences in enterprise architecture: from knowledge, skills, and attitudes to organizational capabilities.",Rodrigo F. Calhau; João Paulo A. Almeida; Satyanarayana Kokkula; Giancarlo Guizzardi,https://doi.org/10.1007/s10270-024-01151-7,null,J,no_arxiv,0
2024,SoSyM,"Correction: Modeling competences in enterprise architecture: from knowledge, skills, and attitudes to organizational capabilities.",Rodrigo F. Calhau; João Paulo A. Almeida; Satyanarayana Kokkula; Giancarlo Guizzardi,https://doi.org/10.1007/s10270-024-01182-0,null,J,no_arxiv,0
2024,SoSyM,"Ontology-based security modeling in ArchiMate.",Italo Jose da Silva Oliveira; Tiago Prince Sales; João Paulo A. Almeida; Riccardo Baratella; Mattia Fumagalli; Giancarlo Guizzardi,https://doi.org/10.1007/s10270-024-01149-1,null,J,no_arxiv,0
2022,SoSyM,"Automated conceptual model clustering: a relator-centric approach.",Giancarlo Guizzardi; Tiago Prince Sales; João Paulo A. Almeida; Geert Poels,https://doi.org/10.1007/s10270-021-00919-5,null,J,no_arxiv,0
2021,IST,"From a Scrum Reference Ontology to the Integration of Applications for Data-Driven Software Development.",Paulo Sérgio dos Santos Júnior; Monalessa Perini Barcellos; Ricardo de Almeida Falbo; João Paulo A. Almeida,https://doi.org/10.1016/j.infsof.2021.106570,null,J,no_arxiv,0
