2024,Expert Systems Appl.,"Improving hate speech detection using Cross-Lingual Learning.",Anderson Almeida Firmino; Cláudio de Souza Baptista; Anselmo Cardoso de Paiva,https://doi.org/10.1016/j.eswa.2023.121115,null,J,no_arxiv,0
2023,Expert Systems Appl.,"Detection of potential gas accumulations in 2D seismic images using spatio-temporal, PSO, and convolutional LSTM approaches.",Domingos Alves Dias Júnior; Luana Batista da Cruz; João Otávio Bandeira Diniz; Aristófanes Corrêa Silva; Anselmo Cardoso de Paiva; Marcelo Gattass; Carlos Rodriguez; Roberto Quispe Quispe; Roberto Ribeiro; Vinicius Riguete,https://doi.org/10.1016/j.eswa.2022.119337,null,J,no_arxiv,0
2022,Expert Systems Appl.,"Kidney tumor segmentation from computed tomography images using DeepLabv3+ 2.5D model.",Luana Batista da Cruz; Domingos Alves Dias Júnior; João Otávio Bandeira Diniz; Aristófanes Corrêa Silva; João Dallyson Sousa de Almeida; Anselmo Cardoso de Paiva; Marcelo Gattass,https://doi.org/10.1016/j.eswa.2021.116270,null,J,no_arxiv,0
2022,Expert Systems Appl.,"An automatic approach for heart segmentation in CT scans through image processing techniques and Concat-U-Net.",João Otávio Bandeira Diniz; Jonnison Lima Ferreira; Omar Andrés Carmona Cortes; Aristófanes Corrêa Silva; Anselmo Cardoso de Paiva,https://doi.org/10.1016/j.eswa.2022.116632,null,J,no_arxiv,0
2022,Expert Systems Appl.,"A cascade approach for automatic segmentation of cardiac structures in short-axis cine-MR images using deep neural networks.",Italo Francyles Santos da Silva; Aristófanes Corrêa Silva; Anselmo Cardoso de Paiva; Marcelo Gattass,https://doi.org/10.1016/j.eswa.2022.116704,null,J,no_arxiv,0
2021,Engineering Appl. of AI,"Forecasting of individual electricity consumption using Optimized Gradient Boosting Regression with Modified Particle Swarm Optimization.",Luis Fernando Marin Sepulveda; Petterson Sousa Diniz; João Otávio Bandeira Diniz; Stelmo Magalhães Barros Netto; Carolina L. S. Cipriano; Alexandre Cristian Araújo; Victor H. B. Lemos; Alexandre C. P. Pessoa 0001; Darlan Bruno Pontes Quintanilha; João Dallyson Sousa de Almeida; Aristófanes C. Silva; Anselmo Cardoso de Paiva; Geraldo Braz Junior; Márcia I. A. Silva; Eliana Marcia Garros Monteiro; Italo Francyles Santos da Silva; Eduardo C. Fernandes,https://doi.org/10.1016/j.engappai.2021.104440,null,J,no_arxiv,0
2021,Expert Systems Appl.,"Automatic ocular version evaluation in images using random forest.",Jullyana Fialho Pinheiro; João Dallyson Sousa de Almeida; Jorge Antonio Meireles Teixeira; Geraldo Braz Junior; Anselmo Cardoso de Paiva; Aristófanes Corrêa Silva; Rodrigo de Melo Souza Veras,https://doi.org/10.1016/j.eswa.2021.114847,null,J,no_arxiv,0
2021,Expert Systems Appl.,"An automatic method for segmentation of liver lesions in computed tomography images using deep neural networks.",José Denes Lima Araújo; Luana Batista da Cruz; Jonnison Lima Ferreira; Otilio Paulo da Silva Neto; Aristófanes Corrêa Silva; Anselmo Cardoso de Paiva; Marcelo Gattass,https://doi.org/10.1016/j.eswa.2021.115064,null,J,no_arxiv,0
2021,Expert Systems Appl.,"Automatic method for classifying COVID-19 patients based on chest X-ray images, using deep features and PSO-optimized XGBoost.",Domingos Alves Dias Júnior; Luana Batista da Cruz; João Otávio Bandeira Diniz; Giovanni Lucca França da Silva; Geraldo Braz Junior; Aristófanes Corrêa Silva; Anselmo Cardoso de Paiva; Rodolfo Acatauassu Nunes; Marcelo Gattass,https://doi.org/10.1016/j.eswa.2021.115452,null,J,no_arxiv,0
2022,Multimedia Tools Appl.,"An automated CNN architecture search for glaucoma diagnosis based on NEAT.",Alan Carlos de Moura Lima; Geraldo Braz Junior; João Dallyson Sousa de Almeida; Anselmo Cardoso de Paiva; Rodrigo M. S. Veras,https://doi.org/10.1007/s11042-021-11239-7,null,J,no_arxiv,0
2021,Multimedia Tools Appl.,"Segmentation and quantification of COVID-19 infections in CT using pulmonary vessels extraction and deep learning.",João Otávio Bandeira Diniz; Darlan Bruno Pontes Quintanilha; Antonino C. dos Santos Neto; Giovanni Lucca França da Silva; Jonnison Lima Ferreira; Stelmo Magalhães Barros Netto; José Denes Lima Araújo; Luana Batista da Cruz; Thamila Fontenele; Caio M. da S. Martins; Marcos Melo Ferreira; Venicius Garcia; José M. C. Boaro; Carolina L. S. Cipriano; Aristófanes C. Silva; Anselmo Cardoso de Paiva; Geraldo Braz Junior; João Dallyson Sousa de Almeida; Rodolfo Acatauassu Nunes; Roberto Mogami; Marcelo Gattass,https://doi.org/10.1007/s11042-021-11153-y,null,J,no_arxiv,0
2024,IMAVIS,"Automatic segmentation of deep endometriosis in the rectosigmoid using deep learning.",Weslley K. R. Figueredo; Aristófanes Corrêa Silva; Anselmo Cardoso de Paiva; João Otávio Bandeira Diniz; Alice Brandão; Marco Aurelio Pinho Oliveira,https://doi.org/10.1016/j.imavis.2024.105261,null,J,no_arxiv,0
