2023,Expert Systems Appl.,"AIS-based maritime anomaly traffic detection: A review.",Claudio V. Ribeiro; Aline Paes; Daniel de Oliveira 0001,https://doi.org/10.1016/j.eswa.2023.120561,null,J,no_arxiv,0
2021,Future Generation CS,"Cache-aware scheduling of scientific workflows in a multisite cloud.",Gaëtan Heidsieck; Daniel de Oliveira 0001; Esther Pacitti; Christophe Pradal; François Tardieu; Patrick Valduriez,https://doi.org/10.1016/j.future.2021.03.012,null,J,no_arxiv,0
2020,Concurrency and Computation,"OLAP parallel query processing in clouds with C-ParGRES.",Marcello W. M. Ribeiro; Alexandre A. B. Lima; Daniel de Oliveira 0001,https://doi.org/10.1002/cpe.5590,null,J,no_arxiv,0
2020,Future Generation CS,"BioinfoPortal: A scientific gateway for integrating bioinformatics applications on the Brazilian national high-performance computing network.",Kary A. C. S. Ocaña; Marcelo Galheigo; Carla Osthoff; Luiz M. R. Gadelha Jr.; Fábio Porto 0001; Antônio Tadeu A. Gomes; Daniel de Oliveira 0001; Ana Tereza Ribeiro de Vasconcelos,https://doi.org/10.1016/j.future.2020.01.030,null,J,no_arxiv,0
2020,Future Generation CS,"Adding domain data to code profiling tools to debug workflow parallel execution.",Vítor Silva 0003; Leonardo Neves; Renan Souza 0001; Alvaro L. G. A. Coutinho; Daniel de Oliveira 0001; Marta Mattoso,https://doi.org/10.1016/j.future.2018.05.078,null,J,no_arxiv,0
2020,Future Generation CS,"Capturing and Analyzing Provenance from Spark-based Scientific Workflows with SAMbA-RaP.",Thaylon Guedes; Lucas Bertelli Martins; Maria Luiza Furtuozo Falci; Vítor Silva 0003; Kary A. C. S. Ocaña; Marta Mattoso; Marcos V. N. Bedo; Daniel de Oliveira 0001,https://doi.org/10.1016/j.future.2020.05.031,null,J,no_arxiv,0
2023,Inf. Systems,"Pushing diversity into higher dimensions: The LID effect on diversified similarity searching.",Daniel L. Jasbick; Lúcio F. D. Santos; Paulo M. Azevedo-Marques; Agma J. M. Traina; Daniel de Oliveira 0001; Marcos V. N. Bedo,https://doi.org/10.1016/j.is.2023.102166,null,J,no_arxiv,0
2023,Concurr. & Computation,"Optimizing computational costs of Spark for SARS-CoV-2 sequences comparisons on a commercial cloud.",Alan L. Nunes; Alba C. M. A. Melo; Claude Tadonki; Cristina Boeres; Daniel de Oliveira 0001; Lúcia Maria de Assumpção Drummond,https://doi.org/10.1002/cpe.7678,null,J,no_arxiv,0
2022,J. Grid Comput.,"A Provenance-based Execution Strategy for Variant GPU-accelerated Scientific Workflows in Clouds.",Murilo B. Stockinger; Marcos A. Guerine; Ubiratam de Paula Junior; Filipe Santiago; Yuri Frota; Isabel Rosseti; Alexandre Plastino 0001; Daniel de Oliveira 0001,https://doi.org/10.1007/s10723-022-09625-y,null,J,no_arxiv,0
2021,Concurr. & Computation,"Towards optimizing the execution of spark scientific workflows using machine learning-based parameter tuning.",Douglas E. M. de Oliveira; Fábio Porto 0001; Cristina Boeres; Daniel de Oliveira 0001,https://doi.org/10.1002/cpe.5972,null,J,no_arxiv,0
2021,Concurr. & Computation,"An incremental reinforcement learning scheduling strategy for data-intensive scientific workflows in the cloud.",André Nascimento; Vítor Silva 0003; Aline Paes; Daniel de Oliveira 0001,https://doi.org/10.1002/cpe.6193,null,J,no_arxiv,0
2025,IEEE TVCG,"Curio: A Dataflow-Based Framework for Collaborative Urban Visual Analytics.",Gustavo Moreira; Maryam Hosseini; Carolina Veiga Ferreira de Souza; Lucas Alexandre; Nicola Colaninno; Daniel de Oliveira 0001; Nivan Ferreira; Marcos Lage; Fabio Miranda 0001,https://doi.org/10.1109/TVCG.2024.3456353,top,J,no_arxiv,0
2024,IEEE TVCG,"PW: A Visual Approach for Building, Managing, and Analyzing Weather Simulation Ensembles at Runtime.",Carolina Veiga Ferreira de Souza; Suzanna Maria Bonnet; Daniel de Oliveira 0001; Márcio Cataldi; Fabio Miranda 0001; Marcos Lage,https://doi.org/10.1109/TVCG.2023.3326514,top,J,no_arxiv,0
