2016,IEEE Computer Graphics and Applications,"Underwater Depth Estimation and Image Restoration Based on Single Images.",Paulo Drews Jr.; Erickson R. Nascimento; Silvia S. C. Botelho; Mario Fernando Montenegro Campos,https://doi.org/10.1109/MCG.2016.26,null,J,no_arxiv,21
2017,Computers & OR,"Bi-objective data gathering path planning for vehicles with bounded curvature.",Douglas Guimarães Macharet; Jefferson W. G. Monteiro; Geraldo R. Mateus; Mario F. M. Campos,https://doi.org/10.1016/j.cor.2016.07.004,null,J,no_arxiv,2
2018,J. Intelligent & Robotic Syst.,"Multi-agent Rapidly-exploring Pseudo-random Tree.",Armando Alves Neto; Douglas Guimarães Macharet; Mario F. M. Campos,https://doi.org/10.1007/s10846-017-0516-7,null,J,no_arxiv,2
2018,J. Intelligent & Robotic Syst.,"Information-Driven Rapidly-Exploring Random Tree for Efficient Environment Exploration.",Jhielson M. Pimentel; Mário S. Alvim; Mario F. M. Campos; Douglas Guimarães Macharet,https://doi.org/10.1007/s10846-017-0709-0,null,J,no_arxiv,0
2017,ICRA,"Distributed multi-robot coordination for dynamic perimeter surveillance in uncertain environments.",Alexander Jahn; Reza Javanmard Alitappeh; David Saldana; Luciano C. A. Pimenta; Andre G. Santos; Mario F. M. Campos,https://doi.org/10.1109/ICRA.2017.7989035,null,C,no_arxiv,0
2017,IROS,"A decentralized algorithm for assembling structures with modular robots.",David Saldana; Bruno Gabrich; Michael Whitzer; Amanda Prorok; Mario F. M. Campos; Mark Yim; Vijay Kumar 0001,https://doi.org/10.1109/IROS.2017.8206101,null,C,no_arxiv,0
2016,ICRA,"Dynamic perimeter surveillance with a team of robots.",David Saldana; Reza Javanmard Alitappeh; Luciano C. A. Pimenta; Renato Assunção; Mario Fernando Montenegro Campos,https://doi.org/10.1109/ICRA.2016.7487740,null,C,no_arxiv,4
2016,IROS,"Real-time monocular obstacle avoidance using Underwater Dark Channel Prior.",Paulo Drews Jr.; Emili Hernández; Alberto Elfes; Erickson R. Nascimento; Mario Fernando Montenegro Campos,https://doi.org/10.1109/IROS.2016.7759687,null,C,no_arxiv,1
2015,ICRA,"Attitude control for an Hybrid Unmanned Aerial Underwater Vehicle: A robust switched strategy with global stability.",Armando Alves Neto; Leonardo A. Mozelli; Paulo Lilles Jorge Drews Junior; Mario Fernando Montenegro Campos,https://doi.org/10.1109/ICRA.2015.7139029,null,C,no_arxiv,0
2015,ICRA,"A distributed multi-robot approach for the detection and tracking of multiple dynamic anomalies.",David Saldana; Renato Assunção; Mario Fernando Montenegro Campos,https://doi.org/10.1109/ICRA.2015.7139353,null,C,no_arxiv,4
2015,ICRA,"Attitude of quadrotor-like vehicles: Fuzzy modeling and control with prescribed rate of convergence.",Leonardo Amaral Mozelli; Armando Alves Neto; Mario Fernando Montenegro Campos,https://doi.org/10.1109/ICRA.2015.7139418,null,C,no_arxiv,2
2015,IROS,"Automatic restoration of underwater monocular sequences of images.",Paulo Drews Jr.; Erickson R. Nascimento; Mario F. M. Campos; Alberto Elfes,https://doi.org/10.1109/IROS.2015.7353501,null,C,no_arxiv,5
