2024,AAAI,"From Past to Future: Rethinking Eligibility Traces.",Dhawal Gupta; Scott M. Jordan; Shreyas Chaudhari; Bo Liu 0006; Philip S. Thomas; Bruno Castro da Silva,https://doi.org/10.1609/aaai.v38i11.29115,top,C,http://arxiv.org/abs/2312.12972v1,0
2023,AAMAS,"Sample-Efficient Multi-Objective Learning via Generalized Policy Improvement Prioritization.",Lucas Nunes Alegre; Ana L. C. Bazzan; Diederik M. Roijers; Ann Nowé; Bruno C. da Silva 0001,https://dl.acm.org/doi/10.5555/3545946.3598872,null,C,no_arxiv,0
2021,AAMAS,"Minimum-Delay Adaptation in Non-Stationary Reinforcement Learning via Online High-Confidence Change-Point Detection.",Lucas Nunes Alegre; Ana L. C. Bazzan; Bruno C. da Silva 0001,https://www.ifaamas.org/Proceedings/aamas2021/pdfs/p97.pdf,null,C,no_arxiv,0
2024,NIPS/NeurIPS,"Abstract Reward Processes: Leveraging State Abstraction for Consistent Off-Policy Evaluation.",Shreyas Chaudhari; Ameet Deshpande; Bruno C. da Silva 0001; Philip S. Thomas,http://papers.nips.cc/paper_files/paper/2024/hash/1e6dcc16ffa7ced2228d1f2fdc8b5adf-Abstract-Conference.html,top,C,no_arxiv,0
2023,NIPS/NeurIPS,"Multi-Step Generalized Policy Improvement by Leveraging Approximate Models.",Lucas Nunes Alegre; Ana L. C. Bazzan; Ann Nowé; Bruno C. da Silva 0001,http://papers.nips.cc/paper_files/paper/2023/hash/77c7faab15002432ba1151e8d5cc389a-Abstract-Conference.html,top,C,no_arxiv,0
2023,NIPS/NeurIPS,"A Toolkit for Reliable Benchmarking and Research in Multi-Objective Reinforcement Learning.",Florian Felten; Lucas N. Alegre; Ann Nowé; Ana L. C. Bazzan; El-Ghazali Talbi; Grégoire Danoy; Bruno C. da Silva 0001,http://papers.nips.cc/paper_files/paper/2023/hash/4aa8891583f07ae200ba07843954caeb-Abstract-Datasets_and_Benchmarks.html,top,C,no_arxiv,0
2023,NIPS/NeurIPS,"Behavior Alignment via Reward Function Optimization.",Dhawal Gupta; Yash Chandak; Scott M. Jordan; Philip S. Thomas; Bruno C. da Silva 0001,http://papers.nips.cc/paper_files/paper/2023/hash/a5357781c204d4412e44ed9cbcdb08d5-Abstract-Conference.html,top,C,http://arxiv.org/abs/2310.19007v2,0
2022,ICML,"Optimistic Linear Support and Successor Features as a Basis for Optimal Policy Transfer.",Lucas Nunes Alegre; Ana L. C. Bazzan; Bruno C. da Silva 0001,https://proceedings.mlr.press/v162/alegre22a.html,top,C,http://arxiv.org/abs/2206.11326v1,0
2022,ICML,"Constrained Offline Policy Optimization.",Nicholas Polosky; Bruno C. da Silva 0001; Madalina Fiterau; Jithin Jagannath,https://proceedings.mlr.press/v162/polosky22a.html,top,C,no_arxiv,0
2022,NIPS/NeurIPS,"Off-Policy Evaluation for Action-Dependent Non-stationary Environments.",Yash Chandak; Shiv Shankar; Nathaniel D. Bastian; Bruno C. da Silva 0001; Emma Brunskill; Philip S. Thomas,http://papers.nips.cc/paper_files/paper/2022/hash/3bf80b34f731313b8292f4578e820c90-Abstract-Conference.html,top,C,no_arxiv,0
2021,ICML,"Posterior Value Functions: Hindsight Baselines for Policy Gradient Methods.",Chris Nota; Philip S. Thomas; Bruno C. da Silva 0001,http://proceedings.mlr.press/v139/nota21a.html,top,C,no_arxiv,0
2021,NIPS/NeurIPS,"Universal Off-Policy Evaluation.",Yash Chandak; Scott Niekum; Bruno C. da Silva 0001; Erik G. Learned-Miller; Emma Brunskill; Philip S. Thomas,https://proceedings.neurips.cc/paper/2021/hash/e71e5cd119bbc5797164fb0cd7fd94a4-Abstract.html,top,C,no_arxiv,0
