2023,BMC Bioinformatics,"TEMPROT: protein function annotation using transformers embeddings and homology search.",Gabriel Bianchin de Oliveira; Hélio Pedrini; Zanoni Dias,https://doi.org/10.1186/s12859-023-05375-0,null,J,no_arxiv,0
2023,J. Computational Biology,"Reversal and Transposition Distance on Unbalanced Genomes Using Intergenic Information.",Alexsandro Oliveira Alexandrino; Andre Rodrigues Oliveira; Géraldine Jean; Guillaume Fertin; Ulisses Dias; Zanoni Dias,https://doi.org/10.1089/cmb.2023.0087,null,J,no_arxiv,0
2023,IEEE/ACM TCBB,"Reversal and Indel Distance With Intergenic Region Information.",Alexsandro Oliveira Alexandrino; Klairton Lima Brito; Andre Rodrigues Oliveira; Ulisses Dias; Zanoni Dias,https://doi.org/10.1109/TCBB.2022.3215615,null,J,no_arxiv,0
2023,IEEE/ACM TCBB,"Genome Rearrangement Distance With a Flexible Intergenic Regions Aspect.",Klairton Lima Brito; Alexsandro Oliveira Alexandrino; Andre Rodrigues Oliveira; Ulisses Dias; Zanoni Dias,https://doi.org/10.1109/TCBB.2022.3165443,null,J,no_arxiv,0
2022,J. Computational Biology,"Labeled Cycle Graph for Transposition and Indel Distance.",Alexsandro Oliveira Alexandrino; Andre Rodrigues Oliveira; Ulisses Dias; Zanoni Dias,https://doi.org/10.1089/cmb.2021.0279,null,J,no_arxiv,0
2021,J. Computational Biology,"Genome Rearrangement Distance with Reversals, Transpositions, and Indels.",Alexsandro Oliveira Alexandrino; Andre Rodrigues Oliveira; Ulisses Dias; Zanoni Dias,https://doi.org/10.1089/cmb.2020.0121,null,J,no_arxiv,0
2021,IEEE/ACM TCBB,"Sorting Permutations by Intergenic Operations.",Andre Rodrigues Oliveira; Géraldine Jean; Guillaume Fertin; Klairton Lima Brito; Ulisses Dias; Zanoni Dias,https://doi.org/10.1109/TCBB.2021.3077418,null,J,no_arxiv,0
2021,IEEE/ACM TCBB,"Heuristics for Genome Rearrangement Distance With Replicated Genes.",Gabriel Siqueira; Klairton Lima Brito; Ulisses Dias; Zanoni Dias,https://doi.org/10.1109/TCBB.2021.3095021,null,J,no_arxiv,0
2021,IEEE/ACM TCBB,"Sorting Signed Permutations by Intergenic Reversals.",Andre Rodrigues Oliveira; Géraldine Jean; Guillaume Fertin; Klairton Lima Brito; Laurent Bulteau; Ulisses Dias; Zanoni Dias,https://doi.org/10.1109/TCBB.2020.2993002,null,J,no_arxiv,0
2024,ACM Comput. Surveys,"Rearrangement Distance Problems: An updated survey.",Andre Rodrigues Oliveira; Klairton Lima Brito; Alexsandro Oliveira Alexandrino; Gabriel Siqueira; Ulisses Dias; Zanoni Dias,https://doi.org/10.1145/3653295,null,J,no_arxiv,0
2022,Multimedia Tools Appl.,"A genetic programming approach for searching on nearest neighbors graphs.",Javier Alvaro Vargas Muñoz; Zanoni Dias; Ricardo da Silva Torres,https://doi.org/10.1007/s11042-022-12248-w,null,J,no_arxiv,0
2023,J Comb Opt,"Approximation algorithms for sorting by k-cuts on signed permutations.",Andre Rodrigues Oliveira; Alexsandro Oliveira Alexandrino; Géraldine Jean; Guillaume Fertin; Ulisses Dias; Zanoni Dias,https://doi.org/10.1007/s10878-022-00937-z,null,J,no_arxiv,0
2023,J Comb Opt,"Signed rearrangement distances considering repeated genes, intergenic regions, and indels.",Gabriel Siqueira; Alexsandro Oliveira Alexandrino; Zanoni Dias,https://doi.org/10.1007/s10878-023-01083-w,null,J,no_arxiv,0
2022,ITOR,"A heuristic for the convex recoloring problem in graphs.",Ana Paula dos Santos Dantas; Cid C. de Souza; Zanoni Dias,https://doi.org/10.1111/itor.12896,null,J,no_arxiv,0
2021,J Comb Opt,"Length-weighted λ-rearrangement distance.",Alexsandro Oliveira Alexandrino; Guilherme Henrique Santos Miranda; Carla Negri Lintzmayer; Zanoni Dias,https://doi.org/10.1007/s10878-020-00673-2,null,J,no_arxiv,0
2021,IEEE Trans. Inf. Forensics Sec.,"Manifold Learning for Real-World Event Understanding.",Caroline Mazini Rodrigues; Aurea Soriano-Vargas; Bahram Lavi; Anderson Rocha 0001; Zanoni Dias,https://doi.org/10.1109/TIFS.2021.3070431,null,J,no_arxiv,0
2024,JVCI,"P-NOC: Adversarial training of CAM generating networks for robust weakly supervised semantic segmentation priors.",Lucas Oliveira David; Hélio Pedrini; Zanoni Dias,https://doi.org/10.1016/j.jvcir.2024.104187,null,J,http://arxiv.org/abs/2305.12522v3,0
2021,JVCI,"Harnessing high-level concepts, visual, and auditory features for violence detection in videos.",Bruno Malveira Peixoto; Bahram Lavi; Zanoni Dias; Anderson Rocha 0001,https://doi.org/10.1016/j.jvcir.2021.103174,null,J,no_arxiv,0
