2022,Inf. Sciences,"A reinforcement learning approach for single redundant view co-training text classification.",Bruno B. M. Paiva; Erickson R. Nascimento; Marcos André Gonçalves; Fabiano Belém,https://doi.org/10.1016/j.ins.2022.09.065,null,J,no_arxiv,0
2021,NIPS/NeurIPS,"Extracting Deformation-Aware Local Features by Learning to Deform.",Guilherme A. Potje; Renato Martins; Felipe C. Chamone; Erickson R. Nascimento,https://proceedings.neurips.cc/paper/2021/hash/5934c1ec0cd31e12bd9084d106bc2e32-Abstract.html,top,C,no_arxiv,0
2021,Computers & Graphics,"Learning to dance: A graph convolutional adversarial network to generate realistic dance motions from audio.",João Pedro Moreira Ferreira; Thiago M. Coutinho; Thiago L. Gomes; José F. Neto; Rafael Azevedo; Renato Martins; Erickson R. Nascimento,https://doi.org/10.1016/j.cag.2020.09.009,null,J,http://arxiv.org/abs/2011.12999v2,0
2018,Computers & Graphics,"A 3D modeling methodology based on a concavity-aware geometric test to create 3D textured coarse models from concept art and orthographic projections.",Sergio N. Silva Junior; Felipe C. Chamone; Renato C. Ferreira; Erickson R. Nascimento,https://doi.org/10.1016/j.cag.2018.09.002,null,J,no_arxiv,0
2021,J. Intelligent & Robotic Syst.,"Towards Semi-autonomous Robotic Inspection and Mapping in Confined Spaces with the EspeleoRobô.",Héctor Azpúrua; Adriano M. C. Rezende; Guilherme A. Potje; Gilmar Pereira da Cruz Júnior; Rafael Fernandes; Victor R. F. Miranda; Levi Welington de Resende Filho; Jacó Domingues; Filipe Rocha; Frederico Luiz Martins de Sousa; Luiz Guilherme Dias de Barros; Erickson R. Nascimento; Douglas G. Macharet; Gustavo Pessin; Gustavo Medeiros Freitas,https://doi.org/10.1007/s10846-021-01321-5,null,J,no_arxiv,0
2021,ICRA,"Anytime Fault-tolerant Adaptive Routing for Multi-Robot Teams.",Ronaldo F. dos Santos; Erickson R. Nascimento; Douglas G. Macharet,https://doi.org/10.1109/ICRA48506.2021.9561944,null,C,no_arxiv,0
2020,J. Intelligent & Robotic Syst.,"Extending Maps with Semantic and Contextual Object Information for Robot Navigation: a Learning-Based Framework Using Visual and Depth Cues.",Renato Martins; Dhiego Bersan; Mario F. M. Campos; Erickson R. Nascimento,https://doi.org/10.1007/s10846-019-01136-5,null,J,no_arxiv,0
2019,J. Field Robotics,"Cooperative digital magnetic-elevation maps by small autonomous aerial robots.",Héctor Azpúrua; Guilherme A. Potje; Paulo A. F. Rezeck; Gustavo Medeiros Freitas; Luis Guilherme Uzeda Garcia; Erickson R. Nascimento; Douglas G. Macharet; Mario F. M. Campos,https://doi.org/10.1002/rob.21909,null,J,no_arxiv,0
2019,IROS,"On Modeling the Effects of Auditory Annoyance on Driving Style and Passenger Comfort.",Edson R. Araujo; Michal Gregor; Isabella Huang; Erickson R. Nascimento; Ruzena Bajcsy,https://doi.org/10.1109/IROS40897.2019.8967520,null,C,no_arxiv,0
2023,IEEE TPAMI,"Text-Driven Video Acceleration: A Weakly-Supervised Reinforcement Learning Method.",Washington L. S. Ramos; Michel Melo Silva; Edson R. Araujo; Victor Moura; Keller Oliveira; Leandro Soriano Marcolino; Erickson R. Nascimento,https://doi.org/10.1109/TPAMI.2022.3157198,top,J,no_arxiv,0
2022,CVIU,"Learning geodesic-aware local features from RGB-D images.",Guilherme A. Potje; Renato Martins; Felipe Cadar; Erickson R. Nascimento,https://doi.org/10.1016/j.cviu.2022.103409,null,J,no_arxiv,0
